Chaperone,Description,Domain,count,total,percentage,fold.enrichment,log2,pvalue,,,,,,,,,,,,
1TRiC,WD40 repeat beta-propeller,2.130.10,31,449,6.904231626,1.742030383,0.800769786,1.03E-03,,,,,,,,,,,,
1TRiC,Rossmann fold,3.40.50,139,449,30.95768374,1.262580564,0.336375447,0.000517048,,,,,,,,,,,,
1TRiC,Nucleotide-binding alpha-beta plait,3.30.70,22,449,4.899777283,1.335979596,0.417897974,0.09079103,,,,,,,,,,,,
1TRiC,TIM barrel,3.20.20,32,449,7.126948775,1.927697105,0.946878381,0.000119906,,,,,,,,,,,,
2SSB,WD40 repeat beta-propeller,2.130.10,39,1010,3.861386139,0.974279592,-0.037592248,0.464105279,,,,,,,,,,,0.00716793,under
2SSB,Rossmann fold,3.40.50,282,1010,27.92079208,1.13872374,0.187417784,0.001662441,,,,,,,,,,,0.084685793,
2SSB,Nucleotide-binding alpha-beta plait,3.30.70,46,1010,4.554455446,1.241823698,0.312460369,0.047371328,,,,,,,,,,,0.014281645,
2SSB,TIM barrel,3.20.20,47,1010,4.653465347,1.258669307,0.33189929,0.035984485,,,,,,,,,,,0.008824923,
Proteome,WD40 repeat beta-propeller,2.130.10,134,3381,3.96332446,NA,NA,NA,,,,,,,,,,,,
Proteome,Rossmann fold,3.40.50,829,3381,24.51937297,NA,NA,NA,,,,,,,,,,,,
Proteome,Nucleotide-binding alpha-beta plait,3.30.70,124,3381,3.667553978,NA,NA,NA,,,,,,,,,,,,
Proteome,TIM barrel,3.20.20,125,3381,3.697131026,NA,NA,NA,,,,,,,,,,,,
Bukau,WD40 repeat beta-propeller,2.130.10,11,530,2.075471698,0.523669389,-0.93327182,0.00716793,,,,,,,,,,,,
Bukau,Rossmann fold,3.40.50,143,530,26.98113208,1.100400573,0.138028797,0.084685793,,,,,,,,,,,,
Bukau,Nucleotide-binding alpha-beta plait,3.30.70,29,530,5.471698113,1.491920268,0.577170436,0.014281645,,,,,,,,,,,,
Bukau,TIM barrel,3.20.20,30,530,5.660377358,1.531018868,0.614492063,0.008824923,,,,,,,,,,,,
Early,WD40,2.130.10,13,301,4.318936877,0.625549244,-0.676804634,0.002567285,,,,,,,,,,,,
Early,Rossmann fold,3.40.50,99,301,32.89036545,1.06242979,0.087367505,0.123747859,,,,,,,,,,,,
Early,TIM barrel,3.20.20,23,301,7.641196013,1.072155316,0.100513914,0.347608977,,,,,,,,,,,,
Late,WD40,2.130.10,22,245,8.979591837,1.300592495,0.379169004,0.041627674,,,,,,,,,,,,
Late,Rossmann fold,3.40.50,76,245,31.02040816,1.002026134,0.002920136,0.528765093,,,,,,,,,,,,
Late,TIM barrel,3.20.20,18,245,7.346938776,1.030867347,0.043858697,0.496230952,,,,,,,,,,,,
Early_max,WD40,2.130.10,11,247,4.453441296,0.645030691,-0.632560289,0.018943151,,,,,,,,,,,,
Early_max,Rossmann fold,3.40.50,83,247,33.60323887,1.08545714,0.118302762,0.107648297,,,,,,,,,,,,
Early_max,TIM barrel,3.20.20,16,247,6.477732794,0.908906883,-0.137795597,0.340689498,,,,,,,,,,,,
Late_max,WD40,2.130.10,20,202,9.900990099,1.43404663,0.520091936,0.018943151,,,,,,,,,,,,
Late_max,Rossmann fold,3.40.50,56,202,27.72277228,0.895505378,-0.159225999,0.107648297,,,,,,,,,,,,
Late_max,TIM barrel,3.20.20,16,202,7.920792079,1.111386139,0.152360152,0.340689498,,,,,,,,,,,,
High_max,WD40,2.130.10,24,237,10.12658228,1.466721111,0.552594576,0.003233489,,,,,,,,,,,,
High_max,Rossmann fold,3.40.50,81,237,34.17721519,1.103997814,0.142737316,0.072242327,,,,,,,,,,,,
High_max,TIM barrel,3.20.20,13,237,5.485232068,0.769646624,-0.377731896,0.106423698,,,,,,,,,,,,
Low_max,WD40,2.130.10,7,212,3.301886792,0.478241023,-1.064190208,0.003233489,,,,,,,,,,,,
Low_max,Rossmann fold,3.40.50,58,212,27.35849057,0.883738292,-0.178308897,0.072242327,,,,,,,,,,,,
Low_max,TIM barrel,3.20.20,19,212,8.962264151,1.257517689,0.330578694,0.106423698,,,,,,,,,,,,
