orf,pearson correlation,number of peaks,peakwidth,start of peak [nt],peakwidth,start of peak [nt],peakwidth,start of peak [nt],peakwidth,start of peak [nt],peakwidth,start of peak [nt],peakwidth,start of peak [nt],peakwidth,start of peak [nt],peakwidth,start of peak [nt],peakwidth,start of peak [nt],peakwidth,start of peak [nt],peakwidth,start of peak [nt],peakwidth,start of peak [nt],peakwidth,start of peak [nt],peakwidth,start of peak [nt],peakwidth,start of peak [nt],peakwidth,start of peak [nt],peakwidth,start of peak [nt],peakwidth,start of peak [nt],peakwidth,start of peak [nt],peakwidth,start of peak [nt],peakwidth,start of peak [nt],peakwidth,start of peak [nt],peakwidth,start of peak [nt],peakwidth,start of peak [nt],peakwidth,start of peak [nt],peakwidth,start of peak [nt],peakwidth,start of peak [nt],peakwidth,start of peak [nt],peakwidth,start of peak [nt],peakwidth,start of peak [nt],peakwidth,start of peak [nt],peakwidth,start of peak [nt],peakwidth,start of peak [nt],peakwidth,start of peak [nt],peakwidth,start of peak [nt],peakwidth,start of peak [nt],peakwidth,start of peak [nt],peakwidth,start of peak [nt],peakwidth,start of peak [nt],peakwidth,start of peak [nt],peakwidth,start of peak [nt],peakwidth,start of peak [nt],peakwidth,start of peak [nt],peakwidth,start of peak [nt],peakwidth,start of peak [nt]
YBR177C,0.853045947,6,63,222,25,329,27,771,16,799,57,1158,16,1290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YLR268W,0.902108503,1,34,450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YJL155C,0.699346356,2,33,781,33,1155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YLR197W,0.978898301,4,59,193,50,531,29,626,55,714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YJL122W,0.988129748,1,120,335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YGR148C,0.986748476,1,33,268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YJL204C,0.788855122,2,75,414,27,2185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YLR244C,0.954324443,8,39,241,80,394,79,713,39,800,43,903,29,985,16,1015,68,1037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YNL003C,0.814489105,2,62,348,19,652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YBR135W,0.879093883,2,22,271,29,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
